Base,SingleMineral,hotkey00,hotkey01,hotkey02,hotkey10,hotkey11,hotkey12,hotkey20,hotkey21,hotkey22,hotkey30,hotkey31,hotkey32,hotkey40,hotkey41,hotkey42,hotkey50,hotkey51,hotkey52,hotkey60,hotkey61,hotkey62,hotkey70,hotkey71,hotkey72,hotkey80,hotkey81,hotkey82,hotkey90,hotkey91,hotkey92,race,battleneturl
1,0,0,0,0,1,0,76,1,0,12,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2345126/1/RorO/
0,0,0,0,0,1,0,0,1,0,0,1,0,40,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2333312/1/TAiLS/
3,0,0,0,0,0,0,0,1,0,2,1,0,31,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2345126/1/RorO/
1,0,0,0,0,1,0,53,2,0,21,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2333312/1/TAiLS/
11,2,0,0,0,0,0,0,0,0,0,1,0,45,12,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341467/1/Classic/
3,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,85,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2343079/1/Seed/
7,1,0,0,0,0,0,0,0,0,0,1,0,56,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341467/1/Classic/
5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2343079/1/Seed/
15,0,0,0,0,0,0,0,0,0,0,3,0,51,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341467/1/Classic/
1,0,0,0,0,1,0,74,1,0,13,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2333312/1/TAiLS/
21,0,0,0,0,0,0,0,0,0,0,1,0,42,16,0,12,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341467/1/Classic/
1,0,0,0,0,1,0,65,1,0,17,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2333312/1/TAiLS/
0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2345126/1/RorO/
7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2343079/1/Seed/
0,0,0,0,0,0,0,0,1,0,3,1,0,23,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2345126/1/RorO/
4,0,0,0,0,1,0,26,0,0,0,1,0,0,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2343079/1/Seed/
0,0,0,0,0,0,0,0,1,0,0,1,0,32,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2345126/1/RorO/
12,0,0,0,0,0,0,0,0,0,0,3,0,54,5,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341467/1/Classic/
0,0,0,0,0,1,0,0,1,0,3,1,0,32,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2345126/1/RorO/
10,1,0,0,0,0,0,0,0,0,0,1,0,48,8,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341467/1/Classic/
0,0,0,0,0,1,0,51,1,0,0,1,0,0,0,0,0,1,0,45,1,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344476/1/Dark/
0,0,0,0,0,8,0,8,0,0,0,1,0,19,0,0,0,0,0,0,1,0,64,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2334376/1/INnoVation/
0,0,0,0,0,1,0,58,2,0,0,1,0,0,0,0,0,1,0,37,1,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344476/1/Dark/
0,0,0,0,0,8,0,3,0,0,0,1,0,16,0,0,0,0,0,0,1,0,72,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2334376/1/INnoVation/
3,1,0,0,0,1,0,39,1,0,0,1,0,0,0,0,0,1,0,37,1,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344476/1/Dark/
0,1,0,0,0,4,0,6,2,0,1,2,0,19,0,0,0,0,0,0,1,0,65,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2334376/1/INnoVation/
2,2,0,0,0,1,0,20,1,0,26,1,0,1,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341466/1/sora/
38,0,1,0,0,1,0,31,4,0,11,1,0,5,1,0,3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2334176/1/Armani/
28,0,1,0,0,1,0,26,4,0,17,1,0,5,1,0,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341466/1/sora/
0,2,0,0,0,1,0,20,1,0,27,1,0,1,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2334176/1/Armani/
0,0,0,0,0,10,0,4,0,0,0,2,0,12,0,0,0,0,0,0,1,0,72,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2334376/1/INnoVation/
41,0,1,0,0,1,0,11,3,0,8,1,0,4,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341466/1/sora/
32,0,1,0,0,1,0,15,4,0,0,1,0,1,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,Protoss,http://kr.battle.net/sc2/en/profile/2341466/1/sora/
0,0,0,0,0,7,0,5,0,0,0,1,0,13,0,0,0,0,0,0,1,0,74,0,0,0,0,0,0,0,0,0,Terran,http://kr.battle.net/sc2/en/profile/2334376/1/INnoVation/
2,0,0,0,0,1,0,56,1,0,0,1,0,0,0,0,0,1,0,38,1,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2344476/1/Dark/
2,0,0,0,0,1,0,25,2,0,30,1,0,1,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zerg,http://kr.battle.net/sc2/en/profile/2334176/1/Armani/
